time_s,transmitter,receiver,source_mac,dest_mac,packet_name,packet_bytes
30.003618545,uav1,gateway,0A-AA-00-00-00-04,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.003618604,uav1,uav2,0A-AA-00-00-00-04,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.003618604,uav1,uav3,0A-AA-00-00-00-04,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.003619279,uav1,uav4,0A-AA-00-00-00-04,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.003619279,uav1,uav6,0A-AA-00-00-00-04,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.003619314,uav1,uav5,0A-AA-00-00-00-04,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.003784142,gateway,uav1,0A-AA-00-00-00-02,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.003784723,gateway,uav2,0A-AA-00-00-00-02,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.003784723,gateway,uav3,0A-AA-00-00-00-02,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.003904740,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"arpREPLY",36
30.004127338,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"aodv::Rrep",56
30.004368533,gateway,uav1,0A-AA-00-00-00-02,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.004369114,gateway,uav2,0A-AA-00-00-00-02,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.004369114,gateway,uav3,0A-AA-00-00-00-02,FF-FF-FF-FF-FF-FF,"aodv::Rreq",60
30.004480648,uav2,uav3,0A-AA-00-00-00-05,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004480771,uav2,uav1,0A-AA-00-00-00-05,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004480790,uav2,uav4,0A-AA-00-00-00-05,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004480926,uav2,uav5,0A-AA-00-00-00-05,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004481109,uav2,uav6,0A-AA-00-00-00-05,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004481293,uav2,gateway,0A-AA-00-00-00-05,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004578369,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"aodv::Rrep",56
30.004698548,gateway,uav2,0A-AA-00-00-00-02,0A-AA-00-00-00-05,"arpREPLY",36
30.004845615,uav3,uav2,0A-AA-00-00-00-06,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004845738,uav3,uav1,0A-AA-00-00-00-06,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004845757,uav3,uav6,0A-AA-00-00-00-06,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004845894,uav3,uav5,0A-AA-00-00-00-06,FF-FF-FF-FF-FF-FF,"arpREQ",36
30.004846077,uav3,uav4,0A-AA-00-00-00-06,FF-FF-FF-FF-FF-FF,"arpREQ",36
